com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-07-14 09:35:06.662,,,,2021-07-15 09:55:05.972,2021-07-14 09:35:06.679,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":115,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-14 09:35:06.662,4278282c-bc68-47ab-9b19-610f7c2946fd,0,
,2021-07-15 09:55:05.933,,,,2021-07-16 10:55:02.105,2021-07-15 09:55:05.982,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":75,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-15 09:55:05.933,c0d92c48-5091-438f-8b40-c26fcda90702,0,
,2021-07-14 11:21:05.281,,,,2021-07-17 08:15:19.542,2021-07-14 10:40:04.740,,,goal_activity_reward_most_active_day,UTC+0900,"{""mIsCompleted"":false,""mValue"":115,""mValue2"":0}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-14 10:40:04.713,d66295bd-2dd6-4c16-b233-9787707d37c2,0,
,,,,,2021-11-21 06:46:46.024,2021-07-13 21:10:29.007,,,LAST_SLEEP_CHECKING_TIME,,,TKIQsULl+e,com.sec.android.app.shealth,Sleep.Goal.Temp,2021-11-19 15:00:00.000,b5d1a626-a877-40ec-9d57-8911817a0bb5,-10000,
,2021-07-17 06:40:50.805,,,,2021-07-18 01:14:00.353,2021-07-17 06:40:50.832,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":151,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-17 06:40:50.805,b32af544-7d7e-48b6-a3a2-6dbf269ae704,0,
,2021-07-16 15:00:00.000,,10009,,2021-07-22 15:00:15.658,2021-07-17 15:31:05.965,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10696}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-16 15:00:00.000,9c95be21-5ba0-4f84-ba76-b2443cdebcbc,1,
,2021-07-13 15:00:00.000,,100003,,2021-07-17 15:31:11.461,2021-07-17 15:31:11.461,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10170}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-13 15:00:00.000,64ac2d16-9f36-4a79-a788-03ad42387153,1,
,2021-07-13 15:00:00.000,,2599999,,2021-07-19 18:49:41.355,2021-07-14 15:00:01.950,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":8875}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-13 15:00:00.000,29f003ca-c069-4c81-9359-2177017a8ce0,1,
,2021-07-17 15:00:00.000,,100003,,2021-08-11 15:11:08.340,2021-07-18 02:12:06.433,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7400}",TKIQsULl+e,com.sec.android.app.shealth,tracker.pedometer,2021-07-17 15:00:00.000,225d2f74-8440-4326-adc3-70c887145583,1,
,2021-07-19 09:35:02.822,,,,2021-07-20 11:37:04.013,2021-07-19 09:35:02.854,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":91,""mValue2"":60}",TKIQsULl+e,com.sec.android.app.shealth,goal.activity,2021-07-19 09:35:02.822,09b07f7e-401c-4613-b137-5b6b69d8cb55,0,
