Date,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
2021-07-03 ,42.0,92.0,76.0,11,82.6,92.0,50.0,5,70.5,92.0,42.0,6
2021-07-04 ,42.0,105.0,84.32,34,81.11,102.0,42.0,18,87.94,105.0,42.0,16
2021-07-05 ,71.0,105.0,83.38,26,81.59,105.0,71.0,17,86.78,105.0,71.0,9
2021-07-06 ,73.0,115.0,85.62,26,82.43,115.0,73.0,14,89.33,115.0,73.0,12
2021-07-07 ,73.0,181.0,102.67,18,98.62,181.0,73.0,8,105.9,181.0,73.0,10
2021-07-08 ,78.0,112.0,89.25,16,89.0,112.0,78.0,9,89.57,112.0,78.0,7
2021-07-09 ,64.0,106.0,76.37,30,75.47,106.0,64.0,17,77.54,99.0,64.0,13
2021-07-10 ,64.0,93.0,79.35,23,77.82,93.0,64.0,11,80.75,93.0,64.0,12
2021-07-11 ,67.0,108.0,84.11,36,80.35,108.0,67.0,20,88.81,108.0,67.0,16
2021-07-12 ,69.0,103.0,81.28,36,80.78,103.0,69.0,18,81.78,97.0,69.0,18
2021-07-13 ,69.0,107.0,83.04,25,79.55,107.0,69.0,11,85.79,107.0,69.0,14
2021-07-14 ,72.0,106.0,86.93,29,85.75,106.0,72.0,16,88.38,106.0,72.0,13
2021-07-15 ,57.0,96.0,79.5,20,74.88,84.0,57.0,8,82.58,96.0,57.0,12
2021-07-16 ,57.0,95.0,83.89,9,83.75,95.0,57.0,4,84.0,95.0,57.0,5
2021-07-17 ,71.0,88.0,80.28,32,78.56,88.0,71.0,18,82.5,88.0,71.0,14
2021-07-18 ,71.0,91.0,85.93,14,87.71,91.0,83.0,7,84.14,91.0,71.0,7
2021-07-19 ,82.0,107.0,94.24,17,94.5,107.0,82.0,6,94.09,106.0,82.0,11
2021-07-20 ,73.0,106.0,82.88,26,82.24,106.0,73.0,17,84.11,106.0,74.0,9
2021-07-21 ,69.0,93.0,78.26,27,78.8,93.0,69.0,15,77.58,87.0,69.0,12
2021-07-22 ,64.0,100.0,80.15,34,78.84,100.0,64.0,19,81.8,100.0,64.0,15
2021-07-23 ,69.0,95.0,80.44,32,79.83,95.0,69.0,18,81.21,95.0,69.0,14
2021-07-24 ,70.0,93.0,81.25,20,83.62,93.0,70.0,8,79.67,90.0,70.0,12
2021-07-25 ,71.0,96.0,80.41,17,80.43,96.0,71.0,14,80.33,89.0,71.0,3
2021-07-26 ,71.0,95.0,85.94,31,86.12,95.0,71.0,17,85.71,94.0,71.0,14
2021-07-27 ,76.0,113.0,90.52,29,89.0,113.0,76.0,18,93.0,113.0,76.0,11
2021-07-28 ,76.0,104.0,87.68,22,86.0,104.0,76.0,9,88.85,104.0,76.0,13
2021-07-29 ,68.0,111.0,79.13,31,78.06,111.0,68.0,18,80.62,111.0,68.0,13
2021-07-30 ,64.0,105.0,81.0,24,77.0,105.0,64.0,10,83.86,105.0,64.0,14
2021-07-31 ,64.0,90.0,77.11,37,76.7,90.0,64.0,20,77.59,89.0,64.0,17
2021-08-01 ,68.0,91.0,79.82,33,79.21,91.0,68.0,14,80.26,89.0,68.0,19
2021-08-02 ,70.0,102.0,82.36,36,80.42,102.0,70.0,19,84.53,102.0,71.0,17
2021-08-03 ,42.0,126.0,91.86,28,99.19,126.0,74.0,16,82.08,126.0,42.0,12
2021-08-04 ,42.0,126.0,80.94,31,77.65,126.0,42.0,17,84.93,126.0,42.0,14
2021-08-05 ,68.0,96.0,76.77,31,77.22,96.0,68.0,18,76.15,95.0,68.0,13
2021-08-06 ,64.0,87.0,75.16,32,74.75,87.0,66.0,16,75.56,87.0,64.0,16
2021-08-07 ,64.0,105.0,81.26,19,84.6,105.0,64.0,5,80.07,105.0,64.0,14
2021-08-08 ,64.0,97.0,82.86,35,81.74,97.0,72.0,19,84.19,97.0,64.0,16
2021-08-09 ,64.0,99.0,82.36,28,82.29,99.0,64.0,17,82.45,97.0,64.0,11
2021-08-10 ,73.0,107.0,85.1,31,84.74,107.0,73.0,19,85.67,107.0,73.0,12
2021-08-11 ,73.0,118.0,87.69,36,88.0,118.0,73.0,18,87.39,118.0,73.0,18
2021-08-12 ,76.0,125.0,89.03,30,87.06,125.0,78.0,16,91.29,125.0,76.0,14
2021-08-13 ,55.0,98.0,78.65,31,78.62,98.0,70.0,16,78.67,95.0,55.0,15
2021-08-14 ,54.0,93.0,74.82,17,77.2,83.0,73.0,5,73.83,93.0,54.0,12
2021-08-15 ,54.0,112.0,81.97,37,79.05,112.0,54.0,19,85.06,112.0,54.0,18
2021-08-16 ,65.0,91.0,75.38,13,91.0,91.0,65.0,1,74.08,85.0,65.0,12
2021-08-17 ,67.0,114.0,85.81,37,86.11,114.0,67.0,18,85.53,114.0,67.0,19
2021-08-18 ,67.0,104.0,91.62,16,95.33,104.0,67.0,6,89.4,102.0,67.0,10
2021-08-20 ,74.0,96.0,83.75,24,85.06,94.0,75.0,17,80.57,96.0,74.0,7
2021-08-21 ,71.0,103.0,86.03,31,86.21,103.0,74.0,14,85.88,103.0,71.0,17
2021-08-22 ,71.0,108.0,83.35,23,81.67,108.0,71.0,12,85.18,108.0,71.0,11
2021-08-23 ,75.0,109.0,86.57,14,88.67,109.0,75.0,6,85.0,93.0,75.0,8
2021-08-24 ,40.0,136.0,86.28,29,82.88,136.0,40.0,16,90.46,136.0,40.0,13
2021-08-25 ,40.0,106.0,83.73,26,80.44,106.0,40.0,16,89.0,104.0,40.0,10
2021-08-26 ,40.0,114.0,92.57,14,94.0,114.0,40.0,3,92.18,114.0,40.0,11
2021-08-27 ,64.0,99.0,83.9,30,83.44,99.0,64.0,16,84.43,98.0,64.0,14
2021-08-28 ,63.0,96.0,82.52,33,82.18,96.0,63.0,17,82.88,96.0,63.0,16
2021-08-29 ,74.0,112.0,94.17,12,90.0,112.0,74.0,1,94.55,112.0,74.0,11
2021-08-30 ,68.0,111.0,85.4,30,83.47,111.0,68.0,17,87.92,104.0,68.0,13
2021-08-31 ,68.0,113.0,82.0,28,78.12,113.0,68.0,16,87.17,113.0,68.0,12
2021-09-01 ,48.0,135.0,80.48,31,76.56,135.0,48.0,18,85.92,135.0,48.0,13
2021-09-02 ,48.0,110.0,92.0,12,103.0,110.0,48.0,2,89.8,110.0,48.0,10
2021-09-03 ,76.0,96.0,88.56,9,96.0,96.0,76.0,1,87.62,96.0,76.0,8
2021-09-04 ,73.0,135.0,92.61,18,92.67,135.0,73.0,6,92.58,135.0,73.0,12
2021-09-05 ,76.0,99.0,82.59,17,82.09,99.0,76.0,11,83.5,99.0,76.0,6
2021-09-06 ,76.0,102.0,91.0,3, , , , ,91.0,102.0,76.0,3
2021-09-12 ,72.0,90.0,78.57,21,78.19,90.0,72.0,16,79.8,87.0,72.0,5
2021-09-13 ,72.0,101.0,84.34,32,83.44,101.0,72.0,18,85.5,101.0,72.0,14
2021-09-14 ,70.0,106.0,82.74,27,79.72,106.0,70.0,18,88.78,106.0,70.0,9
2021-09-15 ,74.0,89.0,81.5,2, , , , ,81.5,89.0,74.0,2
2021-09-16 ,64.0,109.0,82.47,30,75.0,109.0,64.0,16,91.0,109.0,64.0,14
2021-09-17 ,64.0,119.0,84.56,32,80.89,119.0,64.0,18,89.29,119.0,64.0,14
2021-09-18 ,64.0,86.0,71.32,34,70.15,86.0,64.0,20,73.0,86.0,64.0,14
2021-09-19 ,63.0,91.0,77.8,15,79.5,91.0,63.0,4,77.18,91.0,63.0,11
2021-09-20 ,66.0,94.0,71.64,11,72.8,94.0,66.0,5,70.67,74.0,66.0,6
