com.samsung.health.water_intake,6196009,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2021-07-03 07:00:40.293,250.0,,2021-07-03 07:00:40.298,2021-07-03 07:00:40.298,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,81cac93a-ceed-4389-a5c1-01d90d96eef2,
2021-07-03 07:00:40.842,250.0,,2021-07-03 07:00:40.849,2021-07-03 07:00:40.849,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,c1a32ad1-1e8b-4dd5-a83b-ebfb8877c80a,
2021-07-03 07:00:39.562,250.0,,2021-07-03 07:00:39.569,2021-07-03 07:00:39.569,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,afee2a61-6c61-415f-a89a-714b4e3c9bf6,
2021-07-03 07:00:45.391,250.0,,2021-07-03 07:00:45.397,2021-07-03 07:00:45.397,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,6d3fe610-5931-48d1-a5e8-7829f47a3e66,
2021-07-08 11:04:47.119,250.0,,2021-07-08 11:04:47.124,2021-07-08 11:04:47.124,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,697d5f7a-a4e6-44dd-a160-f9049ddec00a,
2021-07-08 11:04:46.603,250.0,,2021-07-08 11:04:46.608,2021-07-08 11:04:46.608,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,424b086f-a254-4be3-a960-5e32e5239f5c,
2021-07-08 11:04:47.469,250.0,,2021-07-08 11:04:47.475,2021-07-08 11:04:47.475,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,0d9d0321-076c-4fb6-b2b5-a261b354d6ac,
2021-07-09 10:54:46.271,250.0,,2021-07-09 10:54:46.282,2021-07-09 10:54:46.282,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,4fe394a2-8b6f-454d-8ca4-5c7a5541915c,
2021-07-12 09:36:59.002,250.0,,2021-07-12 09:36:59.006,2021-07-12 09:36:59.006,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,df87c6d2-5884-45f6-844e-6fe3eaf2a961,
2021-07-03 07:00:41.159,250.0,,2021-07-03 07:00:41.165,2021-07-03 07:00:41.165,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,9c217123-c920-43e0-b63c-0677b7a04c6c,
2021-07-09 10:54:49.770,250.0,,2021-07-09 10:54:49.775,2021-07-09 10:54:49.775,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,953e3069-b7f4-4e26-ad26-d35484a633bb,
2021-07-12 12:22:29.927,250.0,,2021-07-12 12:22:29.933,2021-07-12 12:22:29.933,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,22bb79b2-3534-4d43-acd9-e0a953897f0a,
2021-07-12 09:36:59.848,250.0,,2021-07-12 09:36:59.854,2021-07-12 09:36:59.854,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,7c378b1e-50ef-4704-85e8-dc9efe16ebc5,
2021-07-12 09:37:00.648,250.0,,2021-07-12 09:37:00.654,2021-07-12 09:37:00.654,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,268e5d20-1c54-4692-8288-672b89d418b3,
2021-07-08 11:04:46.181,250.0,,2021-07-08 11:04:46.189,2021-07-08 11:04:46.189,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,efff27eb-89ff-4384-a3a7-e08bd53b7817,
2021-07-12 12:22:29.544,250.0,,2021-07-12 12:22:29.549,2021-07-12 12:22:29.549,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,98b7109d-a41a-4756-972f-a46d29c0fe77,
2021-07-12 12:22:30.461,250.0,,2021-07-12 12:22:30.467,2021-07-12 12:22:30.467,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,ef446782-537d-47eb-a794-5d5fada421ff,
2021-07-09 10:54:49.136,250.0,,2021-07-09 10:54:49.142,2021-07-09 10:54:49.142,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,70676c4f-fb38-4e9b-9663-deaf916511f6,
2021-07-12 09:37:01.714,250.0,,2021-07-12 09:37:01.718,2021-07-12 09:37:01.718,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,1e1ae82a-aedc-46d0-a8a6-11a1e6f67a6e,
2021-07-09 10:54:45.172,250.0,,2021-07-09 10:54:45.180,2021-07-09 10:54:45.180,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,5da25190-86ae-49da-b025-7c3362789d93,
2021-07-12 09:37:00.248,250.0,,2021-07-12 09:37:00.254,2021-07-12 09:37:00.254,UTC+0900,ipBsY8J8JM,250.0,,com.sec.android.app.shealth,4140e0a3-a4ef-4633-9706-d22b4fbff7c6,
2021-09-11 09:17:19.777,250.0,,2021-09-11 09:17:20.131,2021-09-11 09:17:20.131,UTC+0900,weUQcI9iuT,250.0,,com.sec.android.app.shealth,d0173f2f-e16f-4c00-8055-2f442dfc1ac9,
