com.samsung.shealth.exercise,6196009,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,7000,,,1,,,,1,1,0,,1,,0.0,,,,,22450000,,,,2016-09-10 02:32:24.288,1001,,108.98323,768.0,,,,48.205647,,2020-03-17 14:49:38.355,2016-09-10 02:32:24.294,,2.5,,,,8560.0,,383.0,,735.0,,UTC+0900,poYXze4wAV,,,,,0.38142538,com.sec.android.app.shealth,135.1443,133.9059,,2016-09-10 09:37:23.592,623270ec-1303-418c-a8b2-c51324e7dca5,
,,,,1,,,,4,0,0,,,,,,,,,658172,,,,2016-12-23 23:38:10.294,1001,,,,,,,,,2016-12-23 23:57:30.199,2016-12-23 23:57:30.199,,1.5,,,,803.92,,36.94,,,,UTC+0900,poYXze4wAV,,,7cd62afd-0713-410d-88fd-633dbc44f203.com.samsung.health.exercise.live_data.json,,1.2214437,com.sec.android.app.shealth,,,,2016-12-23 23:49:08.466,7cd62afd-0713-410d-88fd-633dbc44f203,
,,,,1,,,,4,0,0,,,,,,,,,1380083,,,,2017-01-05 14:21:06.311,1001,,,,,,,,,2017-01-05 14:45:06.221,2017-01-05 14:45:06.221,,1.4722222,,,,1878.66,,97.75,,,,UTC+0900,poYXze4wAV,,,4c9e2dc9-b667-41c5-8644-f1902ba90c8d.com.samsung.health.exercise.live_data.json,,1.361266,com.sec.android.app.shealth,,,,2017-01-05 14:44:06.394,4c9e2dc9-b667-41c5-8644-f1902ba90c8d,
,,,,1,,,,4,0,0,,,,,,,,,699142,,,,2016-12-27 14:38:38.000,1001,,,,,,,,,2016-12-27 16:38:12.027,2016-12-27 16:38:12.027,,2.8611112,,,,984.55,,65.7,,,,UTC+0900,poYXze4wAV,,,73223342-f671-4738-9e7d-8e936acdb36f.com.samsung.health.exercise.live_data.json,,1.408226,com.sec.android.app.shealth,,,,2016-12-27 14:50:17.142,73223342-f671-4738-9e7d-8e936acdb36f,
,,,,1,,,,4,0,0,,,,,,,,,817416,,,,2017-01-06 13:17:00.000,1001,,,,,,,,,2017-01-06 13:33:39.503,2017-01-06 13:33:39.503,,2.8888888,,,,1073.14,,48.459995,,,,UTC+0900,poYXze4wAV,,,c78d77df-4422-4ef4-82ea-70253d3215bf.com.samsung.health.exercise.live_data.json,,1.3128444,com.sec.android.app.shealth,,,,2017-01-06 13:30:37.416,c78d77df-4422-4ef4-82ea-70253d3215bf,
,,,,1,,,,4,0,0,,,,,,,,,1766686,,,,2017-01-22 00:29:00.000,1001,,,,,,,,,2017-01-22 01:15:01.286,2017-01-22 01:15:01.286,,3.1666667,,,,1950.68,,196.77,,,,UTC+0900,poYXze4wAV,,,a311f294-9b1c-4c31-be94-c308befa9b66.com.samsung.health.exercise.live_data.json,,1.1041465,com.sec.android.app.shealth,,,,2017-01-22 00:58:26.000,a311f294-9b1c-4c31-be94-c308befa9b66,
,,,,1,,,,4,0,0,,,,,,,,,1573448,,,,2017-01-22 05:10:00.000,1001,,,,,,,,,2017-01-22 05:53:34.076,2017-01-22 05:53:34.076,,1.6666666,,,,1878.36,,102.96,,,,UTC+0900,poYXze4wAV,,,02c63a8b-a713-45e4-8768-9469fbb58021.com.samsung.health.exercise.live_data.json,,1.1937859,com.sec.android.app.shealth,,,,2017-01-22 05:36:13.000,02c63a8b-a713-45e4-8768-9469fbb58021,
,,,,1,,,,4,0,0,,,,,,,,,1262767,,,,2017-02-04 00:28:00.000,1001,,,,,,,,,2017-02-04 00:55:01.760,2017-02-04 00:55:01.760,,2.0833333,,,,1830.81,,75.65,,,,UTC+0900,poYXze4wAV,,,5333f3f9-5fa8-4e20-805e-052cfd51b91a.com.samsung.health.exercise.live_data.json,,1.44984,com.sec.android.app.shealth,,,,2017-02-04 00:49:02.000,5333f3f9-5fa8-4e20-805e-052cfd51b91a,
,,,,1,,,,4,0,0,,,,,,,,,1761501,,,,2017-02-05 01:46:23.000,1001,,,,,,,,,2017-02-05 02:35:01.110,2017-02-05 02:35:01.110,,2.1388888,,,,2420.47,,102.56,,,,UTC+0900,poYXze4wAV,,,ef67abcf-bfa4-4aee-9853-8a1fc362934e.com.samsung.health.exercise.live_data.json,,1.3740952,com.sec.android.app.shealth,,,,2017-02-05 02:15:44.000,ef67abcf-bfa4-4aee-9853-8a1fc362934e,
,,,,1,,,,4,0,0,,,,,,,,,2404262,,,,2017-02-18 04:47:00.000,1001,,,,,,,,,2017-02-18 05:32:33.102,2017-02-18 05:32:33.102,,2.5833333,,,,2011.89,,121.78,,,,UTC+0900,poYXze4wAV,,,015f141b-b118-4377-9550-2b8427302fe0.com.samsung.health.exercise.live_data.json,,0.83680147,com.sec.android.app.shealth,,,,2017-02-18 05:27:04.000,015f141b-b118-4377-9550-2b8427302fe0,
