,Date,Step Count,Speed (m/s),Distance,Greater than 10K steps,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep,Min. HR (daily),Max. HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. HR (day),Min. HR (day),Number of samples (day),Avg. night HR,Max. HR (night),Min. HR (night),Number of samples (night)
0,2021-07-03 ,5824,0.55,4477.43,No,72.0,87.15,85.0,6 hours 26 min,5 hours 16 min,21:03:09,22:01:09,10.0,Yes,1 hours 10 min,59.0,71.0,62.31,13.0,61.3,64.0,59.0,10,65.67,71.0,59.0,3
1,2021-07-04 ,7982,0.48,6218.49,No,70.0,83.73,74.0,6 hours 56 min,6 hours 52 min,20:57:06,21:01:06,10.0,Yes,0 hours 4 min,59.0,106.0,81.78,32.0,79.78,106.0,59.0,18,84.36,106.0,59.0,14
2,2021-07-05 ,8991,0.44,6994.05,No,82.0,89.79,92.0,7 hours 8 min,6 hours 57 min,21:02:57,21:05:57,16.0,Yes,0 hours 11 min,62.0,98.0,77.73,33.0,70.6,98.0,62.0,20,88.69,98.0,62.0,13
3,2021-07-06 ,9844,0.43,7613.32,No,81.0,88.97,85.0,6 hours 32 min,6 hours 32 min,,,12.0,No,0 hours 0 min,57.0,117.0,76.57,30.0,73.15,117.0,57.0,20,83.4,117.0,57.0,10
4,2021-07-07 ,11505,0.44,8897.47,Yes,78.0,86.27,68.54,6 hours 33 min,5 hours 50 min,21:02:14,21:35:14,13.0,Yes,0 hours 43 min,57.0,111.0,79.5,30.0,72.86,111.0,57.0,21,95.0,111.0,57.0,9
5,2021-07-08 ,9974,0.38,7791.2,No,79.0,85.29,82.0,5 hours 28 min,4 hours 49 min,21:00:56,21:33:56,12.0,Yes,0 hours 39 min,59.0,114.0,80.77,31.0,73.83,114.0,59.0,18,90.38,114.0,59.0,13
6,2021-07-09 ,6559,0.36,5119.03,No,72.0,88.01,75.0,6 hours 24 min,5 hours 27 min,21:04:33,21:53:33,14.0,Yes,0 hours 57 min,59.0,109.0,79.58,24.0,68.23,109.0,59.0,13,93.0,109.0,59.0,11
7,2021-07-10 ,2036,0.27,1593.63,No,75.0,86.45,82.0,7 hours 4 min,4 hours 48 min,21:00:14,23:13:14,12.0,Yes,2 hours 16 min,59.0,89.0,72.81,27.0,73.0,89.0,59.0,19,72.38,89.0,59.0,8
8,2021-07-11 ,5684,0.49,4391.92,No,70.0,86.25,49.0,5 hours 56 min,5 hours 41 min,21:02:53,21:03:53,10.0,Yes,0 hours 15 min,59.0,84.0,71.69,16.0,71.46,83.0,59.0,13,72.67,84.0,65.0,3
9,2021-07-12 ,6069,0.52,4698.8,No,74.0,84.63,76.0,6 hours 57 min,6 hours 28 min,21:02:53,21:07:53,10.0,Yes,0 hours 29 min,56.0,93.0,72.52,25.0,67.31,93.0,56.0,16,81.78,93.0,56.0,9
10,2021-07-13 ,6375,0.63,4920.48,No,74.0,83.95,79.0,7 hours 7 min,6 hours 28 min,21:01:01,21:37:01,13.0,Yes,0 hours 39 min,56.0,113.0,68.14,14.0,63.36,77.0,56.0,11,85.67,113.0,56.0,3
11,2021-07-14 ,9453,0.41,7347.46,No,70.0,81.81,45.89,6 hours 35 min,5 hours 59 min,21:00:48,21:35:48,7.0,Yes,0 hours 36 min,56.0,124.0,79.29,24.0,70.19,113.0,56.0,16,97.5,124.0,56.0,8
12,2021-07-15 ,5611,0.47,4339.54,No,,,,6 hours 37 min,6 hours 5 min,21:02:18,21:24:18,10.0,Yes,0 hours 32 min,59.0,124.0,74.63,27.0,69.28,124.0,59.0,18,85.33,124.0,59.0,9
13,2021-07-16 ,1330,1.07,1013.09,No,70.0,80.8,76.0,7 hours 49 min,6 hours 14 min,21:00:53,22:34:53,13.0,Yes,1 hours 35 min,63.0,81.0,68.9,10.0,68.0,81.0,63.0,7,71.0,81.0,63.0,3
14,2021-07-17 ,233,0.19,182.69,No,,,,,,,,,,,63.0,90.0,88.0,3.0, , , , ,88.0,90.0,63.0,3
15,2021-07-18 ,5061,0.36,3942.3,No,70.0,85.36,71.0,6 hours 37 min,6 hours 18 min,21:02:12,21:09:12,14.0,Yes,0 hours 19 min,62.0,89.0,72.65,23.0,69.75,89.0,62.0,16,79.29,86.0,62.0,7
16,2021-07-19 ,9673,0.37,7560.1,No,83.0,86.27,76.0,4 hours 49 min,4 hours 22 min,21:03:04,21:26:04,7.0,Yes,0 hours 27 min,58.0,110.0,78.43,23.0,67.64,110.0,60.0,11,88.33,110.0,58.0,12
17,2021-07-20 ,11216,0.41,8744.37,Yes,79.0,82.34,69.0,7 hours 29 min,6 hours 47 min,21:06:47,21:33:47,14.0,Yes,0 hours 42 min,58.0,111.0,73.0,26.0,69.81,111.0,58.0,21,86.4,111.0,58.0,5
18,2021-07-21 ,11550,0.4,9013.82,Yes,,,,,,,,,,,58.0,97.0,85.36,14.0,82.4,93.0,58.0,5,87.0,97.0,58.0,9
19,2021-07-22 ,6098,0.36,4779.39,No,85.45,87.65,67.08,6 hours 37 min,5 hours 47 min,21:00:02,21:38:02,16.0,Yes,0 hours 50 min,63.0,107.0,80.8,25.0,73.0,107.0,63.0,16,94.67,107.0,63.0,9
20,2021-07-23 ,901,1.36,681.51,No,,,,,,,,,,,63.0,91.0,86.0,1.0,86.0,91.0,63.0,1, , , , 
21,2021-07-24 ,3000,0.38,2329.11,No,,,,,,,,,,,69.0,98.0,84.6,10.0,83.4,98.0,69.0,5,85.8,90.0,80.0,5
22,2021-07-25 ,4117,0.36,3235.78,No,,,,,,,,,,,,,,,,,,,,,,
23,2021-07-26 ,9017,0.35,7048.11,No,83.0,86.61,79.0,7 hours 2 min,6 hours 16 min,21:04:55,21:40:55,12.0,Yes,0 hours 46 min,57.0,151.0,78.35,23.0,65.77,119.0,57.0,13,94.7,151.0,57.0,10
24,2021-07-27 ,10003,0.35,7789.8,Yes,,,,,,,,,,,57.0,151.0,90.0,8.0,83.0,151.0,57.0,1,91.0,151.0,57.0,7
25,2021-07-28 ,11009,0.36,8583.91,Yes,,,,,,,,,,,84.0,139.0,107.67,6.0,85.0,114.0,84.0,1,112.2,139.0,84.0,5
26,2021-07-29 ,5729,0.36,4468.54,No,,,,,,,,,,,73.0,139.0,102.57,7.0,86.0,139.0,86.0,1,105.33,139.0,73.0,6
27,2021-07-30 ,4714,0.3,3716.21,No,,,,,,,,,,,73.0,110.0,98.33,6.0, , , , ,98.33,110.0,73.0,6
28,2021-07-31 ,1497,0.45,1168.15,No,,,,,,,,,,,89.0,89.0,89.0,2.0, , , , ,89.0,89.0,89.0,2
29,2021-08-01 ,3395,0.41,2643.2,No,69.04,77.92,70.7,8 hours 55 min,6 hours 31 min,05:21:18,07:34:18,10.0,Yes,2 hours 24 min,58.0,87.0,71.42,24.0,70.35,87.0,58.0,17,74.0,82.0,58.0,7
30,2021-08-02 ,5297,0.4,4106.02,No,,,,,,,,,,,58.0,99.0,86.33,9.0, , , , ,86.33,99.0,58.0,9
31,2021-08-03 ,6913,0.37,5387.01,No,,,,,,,,,,,78.0,114.0,89.38,8.0, , , , ,89.38,114.0,78.0,8
32,2021-08-04 ,10184,0.4,7945.36,Yes,,,,,,,,,,,85.0,114.0,89.5,6.0, , , , ,89.5,114.0,85.0,6
33,2021-08-05 ,11140,0.37,8678.23,Yes,,,,,,,,,,,88.0,108.0,97.09,11.0, , , , ,97.09,108.0,88.0,11
34,2021-08-06 ,1637,1.26,1231.64,No,,,,,,,,,,,76.0,108.0,90.5,6.0,86.0,108.0,76.0,3,95.0,108.0,91.0,3
35,2021-08-07 ,7,1.65,5.53,No,,,,,,,,,,,,,,,,,,,,,,
36,2021-08-08 ,4702,0.43,3675.25,No,,,,,,,,,,,,,,,,,,,,,,
37,2021-08-09 ,8989,0.37,7060.32,No,,,,,,,,,,,89.0,95.0,93.25,4.0, , , , ,93.25,95.0,89.0,4
38,2021-08-10 ,10348,0.36,8070.86,Yes,,,,,,,,,,,72.0,107.0,86.27,11.0,84.5,107.0,72.0,4,87.29,107.0,72.0,7
39,2021-08-11 ,6303,0.48,4907.0,No,,,,,,,,,,,83.0,107.0,94.5,6.0,83.0,107.0,83.0,1,96.8,107.0,87.0,5
40,2021-08-12 ,6049,0.33,4699.43,No,,,,,,,,,,,78.0,112.0,93.25,8.0,85.0,112.0,78.0,1,94.43,112.0,78.0,7
41,2021-08-13 ,5632,0.3,4396.39,No,,,,,,,,,,,90.0,102.0,95.0,2.0, , , , ,95.0,102.0,90.0,2
42,2021-08-14 ,578,1.18,431.52,No,,,,,,,,,,,,,,,,,,,,,,
43,2021-08-15 ,14517,0.68,11532.11,Yes,,,,,,,,,,,,,,,,,,,,,,
44,2021-08-16 ,16191,0.64,12608.39,Yes,73.0,81.12,76.0,6 hours 18 min,6 hours 18 min,,,11.0,No,0 hours 0 min,64.0,79.0,70.45,11.0,70.45,79.0,64.0,11, , , , 
45,2021-08-17 ,5144,0.49,4050.83,No,,,,,,,,,,,64.0,99.0,90.25,8.0,86.0,99.0,64.0,2,91.67,99.0,64.0,6
46,2021-08-18 ,944,0.6,728.76,No,,,,,,,,,,,73.0,92.0,82.0,8.0,84.5,92.0,73.0,2,81.17,92.0,73.0,6
47,2021-08-19 ,11426,0.79,8733.67,Yes,79.58,82.33,64.16,7 hours 9 min,4 hours 38 min,07:34:36,22:00:38,13.0,Yes,2 hours 31 min,59.0,92.0,74.03,31.0,72.29,92.0,59.0,21,77.7,92.0,59.0,10
48,2021-08-20 ,1824,1.2,1364.09,No,50.0,82.46,58.0,1 hours 50 min,0 hours 0 min,03:30:13,05:20:13,5.0,Yes,1 hours 50 min,59.0,100.0,82.87,15.0,83.0,100.0,59.0,4,82.82,100.0,59.0,11
49,2021-08-21 ,3890,0.67,3078.44,No,,,,,,,,,,,,,,,,,,,,,,
50,2021-08-22 ,1114,0.63,842.42,No,,,,,,,,,,,,,,,,,,,,,,
51,2021-08-23 ,738,1.25,551.88,No,,,,,,,,,,,71.0,84.0,77.67,6.0, , , , ,77.67,84.0,71.0,6
52,2021-08-24 ,6153,0.63,4683.24,No,,,,,,,,,,,75.0,77.0,76.0,2.0, , , , ,76.0,77.0,75.0,2
53,2021-08-25 ,2903,0.31,2247.74,No,,,,,,,,,,,,,,,,,,,,,,
54,2021-08-26 ,15656,0.53,12088.72,Yes,,,,,,,,,,,,,,,,,,,,,,
55,2021-08-27 ,1756,1.36,1331.51,No,,,,,,,,,,,76.0,100.0,83.11,9.0,83.33,100.0,76.0,6,82.67,86.0,79.0,3
56,2021-08-28 ,28277,0.56,21781.99,Yes,86.0,85.66,82.0,8 hours 10 min,5 hours 35 min,21:00:01,23:32:01,14.0,Yes,2 hours 35 min,63.0,100.0,74.53,34.0,71.47,100.0,64.0,19,78.4,100.0,63.0,15
57,2021-08-29 ,4556,0.36,3532.66,No,70.0,65.52,41.0,2 hours 9 min,0 hours 0 min,06:36:05,08:45:05,2.0,Yes,2 hours 9 min,63.0,97.0,81.55,22.0,89.5,94.0,63.0,6,78.56,97.0,63.0,16
58,2021-08-30 ,7559,0.38,5835.98,No,,,,,,,,,,,78.0,98.0,88.35,17.0,86.0,98.0,78.0,5,89.33,98.0,78.0,12
59,2021-08-31 ,8866,0.47,6949.03,No,,,,,,,,,,,87.0,112.0,97.06,16.0,97.75,112.0,87.0,4,96.83,107.0,87.0,12
60,2021-09-01 ,17882,0.6,13855.95,Yes,79.0,82.71,55.0,7 hours 26 min,6 hours 32 min,21:11:38,21:52:38,13.0,Yes,0 hours 54 min,54.0,108.0,81.43,35.0,77.0,108.0,54.0,23,89.92,108.0,54.0,12
61,2021-09-02 ,18485,0.53,14286.35,Yes,,,,,,,,,,,66.0,111.0,90.42,12.0,86.25,111.0,66.0,4,92.5,111.0,66.0,8
62,2021-09-03 ,7731,0.31,6071.16,No,70.0,78.86,52.0,4 hours 46 min,4 hours 16 min,21:00:57,21:28:58,7.0,Yes,0 hours 30 min,61.0,108.0,79.56,27.0,71.13,108.0,61.0,15,90.08,108.0,61.0,12
63,2021-09-04 ,2239,0.25,1750.64,No,70.0,89.47,50.0,1 hours 12 min,0 hours 0 min,05:10:20,06:22:20,3.0,Yes,1 hours 12 min,61.0,104.0,93.88,8.0,92.0,104.0,61.0,2,94.5,104.0,61.0,6
64,2021-09-05 ,5360,0.39,4178.88,No,,,,,,,,,,,105.0,105.0,105.0,1.0, , , , ,105.0,105.0,105.0,1
65,2021-09-06 ,5084,0.48,3908.18,No,,,,,,,,,,,77.0,105.0,87.64,14.0,79.67,105.0,77.0,3,89.82,105.0,78.0,11
66,2021-09-07 ,11605,0.45,8956.36,Yes,,,,,,,,,,,68.0,98.0,78.33,15.0,78.6,98.0,68.0,5,78.2,98.0,68.0,10
