com.samsung.health.food_intake,6201005,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2021-07-02 23:00:00.000,1.0,,2021-07-03 03:03:42.296,2021-07-03 03:03:42.296,100001,잡곡밥,120001,340.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,4542b673-78cc-49f4-9fbc-152ffc993c08,bd4bd229-aa5b-4be7-a779-a1ae87be131c,
2021-07-02 23:00:00.000,1.0,,2021-07-03 03:03:42.296,2021-07-03 03:03:42.296,100001,호박볶음,120001,90.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,a13e08bd-57e6-41e7-96fd-1bbc526169f6,2890830f-17c2-44be-a6a1-690d6c949bb3,
2021-07-05 03:29:20.860,0.0,,2021-07-05 03:29:20.863,2021-07-05 03:29:20.863,100002,,-1,0.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,80ba4f90-ed9a-4e77-9bbb-7cb55532bcf2,meal_skipped,
2021-07-04 21:31:20.978,0.0,,2021-07-04 21:31:20.981,2021-07-04 21:31:20.981,100001,,-1,0.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,723ec755-594a-4c58-91cb-4221e2af4c42,meal_skipped,
2021-08-12 06:18:15.169,1.0,,2021-08-12 06:19:16.518,2021-08-12 06:19:16.518,100005,바물도마도  도마도2개,120001,250.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,740e9226-b690-45f0-8cc0-f11e62432171,22c26854-46ca-4af4-8d20-e6ee7ee6febd,
2021-08-12 06:17:25.223,1.0,,2021-08-12 06:18:08.579,2021-08-12 06:18:08.579,100002,대구뽈찜  열무김치,120001,800.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,b9738772-b625-457e-b649-86a438157a34,c0c58122-aace-430a-bbd7-2c9e634527a2,
2021-07-03 04:35:39.859,1.0,,2021-07-03 08:37:32.489,2021-07-03 04:37:16.549,100002,잡곡밥,120001,353.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,1815673f-76c1-45c6-909f-507798661702,7e6f20e1-d838-453d-a601-82bc0d617ba1,
2021-10-23 05:13:18.292,1.0,,2021-10-23 05:13:46.845,2021-10-23 05:13:46.845,100003,현미밥,120001,315.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,6cd1da29-98ad-4b63-a114-463b7aef929a,4a20e9eb-087e-4429-b38a-4577e06c7f59,
2021-10-23 05:12:56.716,1.0,,2021-10-23 05:13:13.113,2021-10-23 05:13:13.113,100002,우유,120001,120.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,0367652a-b51a-43d9-94a0-f7ada2daf76d,f339334f-a0f1-481a-b014-c7e2bcc16427,
2021-07-06 10:23:31.834,0.0,,2021-07-06 10:23:31.837,2021-07-06 10:23:31.837,100003,,-1,0.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,7ba97f00-2d0b-4380-a514-8458ce9e250c,meal_skipped,
2021-10-25 12:25:57.037,1.0,,2021-10-25 12:27:44.421,2021-10-25 12:27:44.421,100003,명태조림  백김치   김  미역국,120001,1000.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,ff0f9a8e-a378-487b-8f7d-8b8feb0dbbc1,fc27e014-a5df-4905-a3da-6eae6f18f11c,
2021-10-25 03:00:00.000,1.0,,2021-10-25 07:11:41.995,2021-10-25 07:11:41.995,100002,돼지수육  총각김치 된장국  양배추,120001,950.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,192081d2-3e1d-4cbc-b794-c794f48bd69f,805d2403-6301-48f3-8622-8421e61f2e9a,
2021-08-13 09:59:43.418,1.0,,2021-08-13 10:01:28.331,2021-08-13 10:01:28.331,100003,가지무침  열무김치 생양파 생배추  김  파프리카,120001,780.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,95d66123-c5b1-42f8-9b2b-4d3e0f813d47,9343dc25-3ba9-4291-bb9e-6e388e046700,
2021-10-30 11:26:42.536,1.0,,2021-10-30 11:28:41.349,2021-10-30 11:28:41.349,100003,오징어두부두루치기  꽈고추무침 생체,120001,750.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,5ac7171a-34d8-4078-a8a3-45d6677c8ac5,44b10677-5a8a-40ad-85e2-7a35e1086f1d,
2021-10-29 03:00:00.000,1.0,,2021-10-29 07:07:12.645,2021-10-29 07:07:12.645,100002,야제 비빕밥 얼간이된장국,120001,680.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,d1dec025-0a71-488d-a10a-cad482701731,1b493a42-66ca-4681-b7e2-9b008355edf1,
2021-10-23 05:13:18.292,100.0,,2021-10-23 05:13:46.845,2021-10-23 05:13:46.845,100003,목살구이,120001,265.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,f7cbcf45-2e54-486a-a4aa-f1c10369a983,663cfed9-c3b9-4ff8-950c-1d49af48182f,
2021-11-03 11:08:04.706,1.0,,2021-11-03 11:08:58.979,2021-11-03 11:08:58.979,100003,굴밥    각두기,120001,650.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,c67c0959-cf24-4f55-99b0-e11529a191c6,27df1772-3378-4cd7-99cc-a51572ebec61,
2021-11-03 03:00:00.000,1.0,,2021-11-03 07:13:30.149,2021-11-03 07:13:30.149,100002,안양식불고기비빕밥 얼간이된장국 계란후라이  열무김치,120001,700.0,UTC+0900,cg/D3WXl8C,,com.sec.android.app.shealth,cdc01bb5-f3fe-4782-a3e4-aea3525374a5,d185fd3b-a505-4412-bae3-0a337956f3ad,
